Año,Mes,Día,Hora,Día de la semana,Electricidad (kW),Fotovoltaica (kW),Refrigeración (kW),Calefacción (kWh),Energía total (kWh),Emisión (kg CO₂)
2014,1,3,11,4,22777.35,9382.75,16137.61382,964.2035900000001,39881.10168000001,24870.0
2014,1,3,12,4,22797.87,10700.16,18688.84562,920.2429400000001,42407.373700000004,26450.0
2014,1,3,13,4,22948.65,10712.28,19648.91628,879.2130000000001,43474.152140000006,27110.0
2014,1,3,14,4,22730.17,9807.88,20299.52611,835.2523500000001,43866.867280000006,27360.0
2014,1,3,15,4,22458.02,8055.79,21199.878109999998,823.5295100000001,44479.38567000001,27740.0
2014,1,3,16,4,22301.1,3669.44,21223.09031,797.1531200000002,44321.12733,27640.0
2014,1,3,17,4,21553.37,289.56,20313.91064,826.46022,42694.583280000006,26630.0
2014,1,3,18,4,20899.13,2.19,16543.08875,788.36099,38228.181240000005,23840.0
2014,1,3,19,4,20400.17,1.81,14352.560469999999,712.1625300000001,35464.52171000001,22120.0
2014,1,3,20,4,20077.65,1.59,13483.8263,715.09324,34277.58416,21380.0
2014,1,3,21,4,21151.84,2.04,12430.90684,764.91531,34344.990490000004,21420.0
2014,1,3,22,4,22898.21,1.69,10339.34694,767.8460200000001,34005.028130000006,21210.0
2014,1,3,23,4,23064.4,2.5,9370.06174,764.91531,33199.08288,20710.0
2014,1,4,0,5,22445.38,2.04,8250.67098,800.08383,31496.34037,19640.0
2014,1,4,1,5,22446.42,4.64,7766.20423,858.6980300000001,31071.387420000003,19380.0
2014,1,4,2,5,22382.64,9.92,7444.926280000001,923.1736500000001,30749.009320000005,19180.0
2014,1,4,3,5,22567.11,8.91,7355.770329999999,823.5295100000001,30746.07861,19180.0
2014,1,4,4,5,22433.33,5.12,7383.765649999999,893.8665500000001,30710.910090000005,19150.0
2014,1,4,5,5,22394.81,3.88,8137.001539999999,990.5799800000001,31519.786050000002,19660.0
2014,1,4,6,5,22163.88,3.59,8094.340329999999,999.3721100000001,31258.95286,19500.0
2014,1,4,7,5,21399.83,8.92,8742.5586,1037.47134,31179.823690000005,19450.0
2014,1,4,8,5,20063.11,637.82,8882.8869,1131.25406,30074.946020000003,18760.0
2014,1,4,9,5,19931.35,2849.31,9288.57285,1099.0162500000001,30318.194950000005,18910.0
2014,1,4,10,5,19961.8,4581.54,9916.28701,975.9264300000001,30851.584170000002,19240.0
2014,1,4,11,5,20525.21,5581.47,11504.42353,858.6980300000001,32888.42762,20510.0
2014,1,4,12,5,20953.0,6528.13,12923.32201,832.32164,34708.398530000006,21650.0
2014,1,4,13,5,21058.91,8596.14,13809.92254,800.08383,35669.67141,22250.0
2014,1,4,14,5,21134.51,8105.6,15063.17032,756.12318,36950.39168,23050.0
2014,1,4,15,5,21120.33,6995.68,15647.519869999998,729.7467900000001,37498.43445,23390.0
2014,1,4,16,5,21291.29,2653.57,16100.1226,729.7467900000001,38119.74497,23770.0
2014,1,4,17,5,21400.17,204.21,14441.610909999998,767.8460200000001,36607.49861,22830.0
2014,1,4,18,5,21626.75,7.79,13250.789879999998,773.7074400000001,35652.08715000001,22230.0
2014,1,4,19,5,21444.21,1.7,12134.84578,800.08383,34380.15901,21440.0
2014,1,4,20,5,20597.08,1.89,11092.86419,820.5988,32510.366030000005,20280.0
2014,1,4,21,5,19909.83,1.98,9360.812030000001,870.4208700000001,30139.421640000004,18800.0
2014,1,4,22,5,21261.56,1.88,8247.365,888.00513,30397.32412,18960.0
2014,1,4,23,5,20983.05,2.55,7653.30853,914.3815200000001,29550.348930000004,18430.0
2014,1,5,0,6,20739.74,2.25,7211.2568,888.00513,28841.117110000003,17990.0
2014,1,5,1,6,20908.99,6.84,8596.814120000001,914.3815200000001,30420.769800000002,18970.0
2014,1,5,2,6,20956.26,10.21,10363.29771,937.8272000000002,32258.32497,20120.0
2014,1,5,3,6,20735.82,7.8,9688.420579999998,905.5893900000001,31329.289900000003,19540.0
2014,1,5,4,6,20817.75,5.32,9495.5483,984.71856,31297.052090000005,19520.0
2014,1,5,5,6,21308.81,4.44,9367.63501,993.5106900000002,31669.252260000005,19750.0
2014,1,5,6,6,21857.18,4.13,8175.72371,1049.1941800000002,31080.17955,19380.0
2014,1,5,7,6,21161.59,9.1,7392.80434,1181.0761300000001,29734.98366,18550.0
2014,1,5,8,6,20383.87,1030.52,7671.280399999999,1271.92814,29327.614970000002,18290.0
2014,1,5,9,6,20083.44,5293.62,8518.56087,1119.53122,29720.330110000003,18540.0
2014,1,5,10,6,20306.4,8411.64,9602.640949999999,1031.60992,30939.50547,19300.0
2014,1,5,11,6,20776.46,10042.81,10883.74337,1031.60992,32692.070050000002,20390.0
2014,1,5,12,6,21863.59,10983.29,12997.81207,844.04448,35704.83993,22270.0
2014,1,5,13,6,21625.28,11019.08,13574.07252,835.2523500000001,36033.079450000005,22470.0
2014,1,5,14,6,21485.0,10158.08,13953.838179999999,832.32164,36270.466960000005,22620.0
2014,1,5,15,6,21366.07,8500.74,14544.44799,820.5988,36730.58843,22910.0
2014,1,5,16,6,21311.53,4318.85,14475.83132,814.73738,36601.63719,22830.0
2014,1,5,17,6,21486.12,334.94,13868.972969999999,817.6680900000001,36173.75353,22560.0
2014,1,5,18,6,21583.47,3.86,12541.05928,861.6287400000001,34986.81598,21820.0
2014,1,5,19,6,21199.11,1.88,11500.2383,879.2130000000001,33580.07518,20940.0
2014,1,5,20,6,20373.12,2.25,10207.95182,908.5201000000001,31490.478950000004,19640.0
2014,1,5,21,6,20104.27,1.88,8890.34294,981.7878500000002,29975.301880000003,18700.0
2014,1,5,22,6,19969.35,7.46,8140.55371,972.99572,29081.435330000004,18140.0
2014,1,5,23,6,20403.58,1.88,7602.52305,899.72797,28905.59273,18030.0
2014,1,6,0,0,20877.94,2.07,8110.8702299999995,911.45081,29902.034130000004,18650.0
2014,1,6,1,0,20444.32,1.75,8398.70151,1016.9563700000001,29861.004190000003,18620.0
2014,1,6,2,0,19606.9,1.94,7762.863079999999,1011.0949500000002,28380.995640000005,17700.0
2014,1,6,3,0,19520.83,1.58,7282.68707,1016.9563700000001,27818.299320000002,17350.0
2014,1,6,4,0,20308.67,1.94,7329.60385,1113.6698000000001,28750.2651,17930.0
2014,1,6,5,0,21439.73,1.91,8170.4130399999995,1271.92814,30880.891270000004,19260.0
2014,1,6,6,0,22663.18,2.64,8436.08722,1755.4952900000003,32853.2591,20490.0
2014,1,6,7,0,23496.72,10.88,8597.55269,1773.0795500000002,33867.28476,21120.0
2014,1,6,8,0,24032.8,1043.62,9117.8225,1688.08896,34837.34977000001,21730.0
2014,1,6,9,0,25609.32,5539.25,10411.480609999999,1509.3156500000002,37527.741550000006,23410.0
2014,1,6,10,0,26671.29,8669.3,12515.5962,1304.16595,40490.689360000004,25250.0
2014,1,6,11,0,24955.58,10200.51,13120.062989999999,1181.0761300000001,39256.86045,24480.0
2014,1,6,12,0,25173.49,11200.15,15485.21032,1181.0761300000001,41838.81596,26090.0
2014,1,6,13,0,24762.9,11230.34,16521.00199,1104.87767,42389.78944,26440.0
2014,1,6,14,0,24378.33,10328.08,18628.70492,1087.29341,44092.531950000004,27500.0
2014,1,6,15,0,24117.17,8611.32,19147.53276,1025.7485000000001,44288.889520000004,27620.0
2014,1,6,16,0,23778.43,4445.67,19271.22565,1005.2335300000001,44054.432720000004,27480.0
2014,1,6,17,0,23009.15,345.39,18505.29339,1046.26347,42562.70133,26540.0
2014,1,6,18,0,22242.29,15.84,14451.52885,958.3421700000001,37650.83137,23480.0
2014,1,6,19,0,21633.25,4.27,12813.064059999999,852.8366100000001,35300.40195000001,22020.0
2014,1,6,20,0,21312.29,2.05,12124.78716,855.76732,34292.23771,21390.0
2014,1,6,21,0,21764.93,2.0,10937.97551,943.6886200000001,33647.481510000005,20980.0
2014,1,6,22,0,21244.61,2.13,9566.38068,846.9751900000001,31657.529420000003,19740.0
2014,1,6,23,0,20924.23,1.97,8592.55855,852.8366100000001,30368.017020000003,18940.0
2014,1,7,0,1,22087.9,2.46,7240.940280000001,934.8964900000001,30265.442170000002,18880.0
2014,1,7,1,1,22345.3,2.78,7807.775170000001,876.2822900000001,31030.357480000002,19350.0
2014,1,7,2,1,22716.99,8.01,7666.56762,846.9751900000001,31229.645760000003,19480.0
2014,1,7,3,1,22780.16,11.06,7285.92271,876.2822900000001,30942.43618,19300.0
2014,1,7,4,1,23223.76,7.31,7328.794940000001,1063.84773,31616.499480000002,19720.0
2014,1,7,5,1,24700.78,5.07,8395.043829999999,1060.91702,34157.425050000005,21300.0
2014,1,7,6,1,26244.57,4.33,8536.70859,1447.7707400000002,36229.437020000005,22600.0
2014,1,7,7,1,26755.2,15.52,9033.097969999999,1535.6920400000001,37322.591850000004,23280.0
2014,1,7,8,1,25179.73,659.23,10120.97641,1400.8793800000003,36701.281330000005,22890.0
2014,1,7,9,1,24925.45,4424.8,10038.71378,1233.8289100000002,36197.199210000006,22580.0
2014,1,7,10,1,25076.88,7888.65,11739.288789999999,1142.9769000000001,37958.555920000006,23670.0
2014,1,7,11,1,24090.22,9480.61,13869.9929,1002.3028200000001,38963.78945,24300.0
2014,1,7,12,1,24056.17,10168.37,14920.063590000002,899.72797,39875.240260000006,24870.0
2014,1,7,13,1,24009.58,7868.78,16293.030049999998,882.14371,41182.33692000001,25690.0
2014,1,7,14,1,23844.35,7481.65,17164.05027,846.9751900000001,41853.46951,26100.0
2014,1,7,15,1,23676.84,2773.96,17260.451240000002,844.04448,41780.20176,26060.0
2014,1,7,16,1,23058.75,1580.01,16973.14751,858.6980300000001,40889.265920000005,25500.0
2014,1,7,17,1,22545.89,122.6,16190.755689999998,888.00513,39623.1992,24710.0
2014,1,7,18,1,21879.85,2.83,13852.935449999999,841.1137700000002,36575.260800000004,22810.0
2014,1,7,19,1,21220.5,1.6,12607.63609,779.5688600000001,34608.75439,21580.0
2014,1,7,20,1,20703.01,1.99,12003.274809999999,814.73738,33518.53027,20910.0
